gene_id	gene_name
BSU38290	thiE
BSU33920	tpiA
BSU34790,BSU32110,BSU03270	trxB or yumC or ycgT
BSU07810	treA
BSU10010	trpP
BSU22640,BSU22630	trpB and trpA
BSU15180	murE
BSU35660	mnaA
BSU35660	mnaA
BSU38860	galE
BSU15220	murG
BSU30870,BSU38860	ytcB or galE
BSU36760,BSU37100	murAA or murAB
BSU15200	murD
BSU29790	murC
BSU15230	murB
BSU31150	uppP
BSU35580	tuaD
BSU04570	murF
BSU21920	ugtP
BSU21920	ugtP
BSU21920	ugtP
BSU13580	mtnE
BSU28140	hemD
BSU03280,BSU15610	nasF or sumT
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
(BSU27070,BSU27060,BSU27050,BSU27040,BSU13900,BSU13910),(BSU14400,BSU13900,BSU13910)	(levD and levE and levF and levG and ptsH and ptsI) or (fruA and ptsH and ptsI)
BSU39020,BSU39410,BSU32180	nupG or nupC or yutK
(BSU02980,BSU02990,BSU03000),(BSU33830,BSU33820,BSU33810,BSU33800)	(opuAA and opuAB and opuAC) or (opuCA and opuCB and opuCC and opuCD)
(BSU28310,BSU28300),BSU36010	(ilvB and ilvH) or alsS
BSU36010,(BSU28310,BSU28300)	alsS or (ilvB and ilvH)
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU07840	yfkN
BSU06310	gabP
BSU06310	gabP
BSU38560,BSU40110	licH or bglA
BSU27330	udk
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU38710	yxlA
BSU33960	araE
BSU26650	czcD
BSU27330	udk
BSU27330	udk
BSU39410,BSU32180,BSU39020	nupC or yutK or nupG
BSU36890	upp
BSU22070	xpt
BSU32490,BSU32470,BSU32510,BSU32480,BSU32500	pucC or pucE or pucA or pucD or pucB
BSU00280	tmk
BSU24080	bcd
BSU38550,BSU02390	ilvK or ilvE
BSU26690,(BSU26710,BSU26700),BSU29600	brnQ or (azlC and azlD) or braB
BSU22890,BSU16510	cmk or pyrH
BSU28510	xsa
BSU10120	hemE
BSU15480,BSU36470	pyrP or pucI
BSU39360	hutU
BSU22890,BSU16510	cmk or pyrH
BSU36660,BSU36650,BSU36640	ureA and ureB and ureC
BSU32500,BSU32470,BSU32490,BSU32510,BSU32480	pucB or pucE or pucC or pucA or pucD
BSU32450,BSU32460	pucL or pucM
BSU17600	xylA
BSU22060	pbuX
BSU17600	xylA
BSU17610	xylB
BSU02850,BSU02860,BSU02870	znuA and znuC and znuB
BSU39860,BSU19310,BSU38830	aldX or dhaS or aldY
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU19310,BSU38830	aldX or dhaS or aldY
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU38830,BSU39860,BSU19310	aldY or aldX or dhaS
BSU19310,BSU39860,BSU38830	dhaS or aldX or aldY
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU19310,BSU38830,BSU39860	dhaS or aldY or aldX
BSU38830,BSU39860,BSU19310	aldY or aldX or dhaS
BSU39860,BSU19310,BSU38830	aldX or dhaS or aldY
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU38830,BSU19310	aldX or aldY or dhaS
BSU39860,BSU19310,BSU38830	aldX or dhaS or aldY
BSU38830,BSU19310,BSU39860	aldY or dhaS or aldX
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU35940,BSU35960,BSU35950,BSU35930	rbsA and rbsB and rbsC and rbsD
BSU14390	fruK
BSU10360,BSU10270,BSU18250,BSU28560	yhfT or lcfB or yngI or lcfA
BSU18250,BSU10360,BSU28560,BSU10270	yngI or yhfT or lcfA or lcfB
BSU10360,BSU18250,BSU28560,BSU10270	yhfT or yngI or lcfA or lcfB
BSU29470	ackA
BSU24150,BSU37170	mmgC or acdA
BSU37170,BSU24150	acdA or mmgC
BSU24150,BSU37170	mmgC or acdA
BSU37170,BSU24150	acdA or mmgC
BSU24150,BSU37170	mmgC or acdA
BSU00140	dck
BSU38710	yxlA
BSU38710	yxlA
BSU21870	ilvD
(BSU13900,BSU13910,BSU38390),(BSU13900,BSU13910,BSU05810,BSU05820,BSU05830),(BSU38570,BSU38590,BSU38580,BSU13900,BSU13910)	(ptsH and ptsI and ywbA) or (ptsH and ptsI and gmuB and gmuA and gmuC) or (licA and licB and licC and ptsH and ptsI)
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU33830,BSU33820,BSU33810,BSU33800	opuCA and opuCB and opuCC and opuCD
