,ybeF,0.0
1179,yetL,0.0
1180,yetJ,0.723
1181,yezB,0.0
1182,yfiF,0.0
1183,yfiD,0.0
1184,glvC,0.0
1185,glvA,0.0
1186,yfjB,0.0
1187,yfjD,0.0
1188,yetH,0.9762
1189,lplD,1.01
1190,lplB,0.0
1191,yetA,0.0
1192,yesX,0.9622
1193,yesV,0.8494
1194,yfiQ,0.893
1195,yfiO,0.9531
1196,yfiM,0.0
1197,yfiK,0.8631
1198,yfiI,0.0
1199,yfiG,0.0
1200,yfnF,0.0
1201,yfnH,0.0
1202,yetN,1.1
1203,yetK,1.22
1204,yezD,0.0
1205,yetI,1.01
1206,yfiE,1.13
1207,yfiC,1.16
1208,yfiA,1.06
1209,yfjA,0.0
1210,yfjC,0.7105
1211,yfjE,0.7699
1212,yetF,0.0
1213,lplC,0.8418
1214,lplA,0.9848
1215,yesZ,0.9022
1216,yesW,1.3
1217,yesU,0.0
1218,yhjC,1.26
1219,yhxD,1.14
1220,yhzC,1.22
1221,yhfW,0.0
1222,yhfU,1.16
1223,yhfS,0.8116
1224,ygxB,0.8078
1225,yhdD,0.9987
1226,yhdB,0.0
1227,yhcZ,0.7828
1228,yhxB,0.8593
1229,glpK,0.0
1230,yhfO,0.8872
1231,yhfN,0.0
1232,yhfL,0.7631
1233,yhfJ,0.971
1234,yhfH,0.4278
1235,yhfF,0.8916
1236,glpP,0.9371
1237,yhcX,1.11
1238,yhcV,0.0
1239,yhcT,0.9219
1240,yhcR,0.0
1241,yhcP,0.0
1242,yhjA,1.05
1243,comK,1.02
1244,yhxC,0.0
1245,yhfV,0.9856
