reaction,gpr
CYTDt2,BSU39020 or BSU39410 or BSU32180
GLYBabc,(BSU02980 and BSU02990 and BSU03000) or (BSU33830 and BSU33820 and BSU33810 and BSU33800)
ACLS,(BSU28310 and BSU28300) or BSU36010
ACHBS,BSU36010 or (BSU28310 and BSU28300)
NTD8,BSU07840
23CN2P1,BSU07840
23CN2P2,BSU07840
23CN2P3,BSU07840
23CN2P4,BSU07840
NTD6,BSU07840
NTD9,BSU07840
NTD1,BSU07840
NTD10,BSU07840
NTD2,BSU07840
3NUCLE1,BSU07840
3NUCLE2,BSU07840
3NUCLE3,BSU07840
3NUCLE4,BSU07840
NTD3,BSU07840
NTD4,BSU07840
NTD5,BSU07840
NTD7,BSU07840
ABUTt2r,BSU06310
BALAt2r,BSU06310
S6PG,BSU38560 or BSU40110
URIK3,BSU27330
LCADi,BSU39860 or BSU38830 or BSU19310
XTSNt2,BSU38710
XYLt2,BSU33960
ZN2t4,BSU26650
URIK1,BSU27330
URIK2,BSU27330
URIt2,BSU39410 or BSU32180 or BSU39020
UPPRT,BSU36890
XPPT,BSU22070
HXAND,BSU32490 or BSU32470 or BSU32510 or BSU32480 or BSU32500
URIDK2r_copy2,BSU00280
VALDHr,BSU24080
VALTA,BSU38550 or BSU02390
VALt2r,BSU26690 or (BSU26710 and BSU26700) or BSU29600
UMPK,BSU22890 or BSU16510
XYL14BASE,BSU28510
UPPDC1,BSU10120
URAt2,BSU15480 or BSU36470
URCN,BSU39360
URIDK2r_copy1,BSU22890 or BSU16510
UREA,BSU36660 and BSU36650 and BSU36640
XAND,BSU32500 or BSU32470 or BSU32490 or BSU32510 or BSU32480
URIC,BSU32450 or BSU32460
XYLI1,BSU17600
XANt2,BSU22060
XYLI2,BSU17600
XYLK,BSU17610
ZNabc,BSU02850 and BSU02860 and BSU02870
ALDD10,BSU39860 or BSU19310 or BSU38830
ALDD11,BSU39860 or BSU38830 or BSU19310
ALDD12,BSU39860 or BSU19310 or BSU38830
ALDD13,BSU39860 or BSU38830 or BSU19310
ALDD14,BSU39860 or BSU38830 or BSU19310
ALDD15,BSU39860 or BSU38830 or BSU19310
ALDD16,BSU39860 or BSU38830 or BSU19310
ALDD17,BSU39860 or BSU38830 or BSU19310
ALDD18,BSU39860 or BSU38830 or BSU19310
ALDD1,BSU38830 or BSU39860 or BSU19310
ALDD20x_1,BSU19310 or BSU39860 or BSU38830
ALDD2x,BSU39860 or BSU38830 or BSU19310
ALDD3,BSU39860 or BSU38830 or BSU19310
GLXO1,BSU19310 or BSU38830 or BSU39860
ALDD31_1,BSU38830 or BSU39860 or BSU19310
ALDD32,BSU39860 or BSU19310 or BSU38830
ALDD4,BSU39860 or BSU38830 or BSU19310
ALDD4x,BSU39860 or BSU38830 or BSU19310
ALDD5,BSU39860 or BSU38830 or BSU19310
ALDD6,BSU39860 or BSU38830 or BSU19310
ALDD7,BSU39860 or BSU38830 or BSU19310
ALDD8,BSU39860 or BSU19310 or BSU38830
GLYALDDr,BSU38830 or BSU19310 or BSU39860
DIPEPabc12,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc13,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc14,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc15,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc2,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc3,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc4,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc5,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc6,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc7,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc8,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc9,BSU12930 and BSU12940 and BSU12950 and BSU12960
RIBabc1,BSU35940 and BSU35960 and BSU35950 and BSU35930
FRUK,BSU14390
FACOAL140,BSU10360 or BSU10270 or BSU18250 or BSU28560
FACOAL140_ISO,BSU18250 or BSU10360 or BSU28560 or BSU10270
FACOAL150_ISO,BSU10360 or BSU18250 or BSU28560 or BSU10270
PPAKr,BSU29470
ACOAD3,BSU24150 or BSU37170
ACOAD4_1,BSU37170 or BSU24150
ACOAD5_1,BSU24150 or BSU37170
ACOAD6,BSU37170 or BSU24150
ACOAD7,BSU24150 or BSU37170
DADNK,BSU00140
CSNt2,BSU38710
INSt2,BSU38710
DHAD3,BSU21870
CELBpts,(BSU13900 and BSU13910 and BSU38390) or (BSU13900 and BSU13910 and BSU05810 and BSU05820 and BSU05830) or (BSU38570 and BSU38590 and BSU38580 and BSU13900 and BSU13910)
MSO3abc,BSU08840 and BSU08830 and BSU08850
ISTNTabc,BSU08840 and BSU08830 and BSU08850
CTBTabc,BSU33830 and BSU33820 and BSU33810 and BSU33800
CHLabc,(BSU33730 and BSU33720 and BSU33710 and BSU33700) or (BSU33830 and BSU33820 and BSU33810 and BSU33800)
CITt15,BSU07610
CHOLSabc_1,BSU33830 and BSU33820 and BSU33810 and BSU33800
